ID	Forward	Reverse	home_location	home_sequence	hybrid
WTCBS16_ctrl_0	WTCBS16_ctrl_Fw_0	WTCBS16_ctrl_Rv_0	F1CBS_16	F1CBS_16	CAST-129S
PB_ctrl_0	PB_ctrl_Fw_0	PB_ctrl_Rv_0	F1CBS_16	F1CBS_16	CAST-129S
befFACS_hop_1	befFACS_hop_Fw_1	befFACS_hop_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
befFACS_hop_2	befFACS_hop_Fw_2	befFACS_hop_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
befFACS_hop_3	befFACS_hop_Fw_3	befFACS_hop_Rv_3	F1CBS_16	F1CBS_16	CAST-129S
P4_1_1	P4_1_Fw_1	P4_1_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P4_2_1	P4_2_Fw_1	P4_2_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P4_3_1	P4_3_Fw_1	P4_3_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P5_1_1	P5_1_Fw_1	P5_1_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P5_2_1	P5_2_Fw_1	P5_2_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P5_3_1	P5_3_Fw_1	P5_3_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P6_1_1	P6_1_Fw_1	P6_1_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P6_2_1	P6_2_Fw_1	P6_2_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P6_3_1	P6_3_Fw_1	P6_3_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P7_1_1	P7_1_Fw_1	P7_1_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P7_2_1	P7_2_Fw_1	P7_2_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P7_3_1	P7_3_Fw_1	P7_3_Rv_1	F1CBS_16	F1CBS_16	CAST-129S
P4_1_2	P4_1_Fw_2	P4_1_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P4_3_2	P4_3_Fw_2	P4_3_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P4_4_2	P4_4_Fw_2	P4_4_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P4_5_2	P4_5_Fw_2	P4_5_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P4_6_2	P4_6_Fw_2	P4_6_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P4_7_2	P4_7_Fw_2	P4_7_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P4_8_2	P4_8_Fw_2	P4_8_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P5_1_2	P5_1_Fw_2	P5_1_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P5_2_2	P5_2_Fw_2	P5_2_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P5_3_2	P5_3_Fw_2	P5_3_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P5_4_2	P5_4_Fw_2	P5_4_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P5_5_2	P5_5_Fw_2	P5_5_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P5_6_2	P5_6_Fw_2	P5_6_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P5_7_2	P5_7_Fw_2	P5_7_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P5_8_2	P5_8_Fw_2	P5_8_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P6_1_2	P6_1_Fw_2	P6_1_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P6_2_2	P6_2_Fw_2	P6_2_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P6_3_2	P6_3_Fw_2	P6_3_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P6_4_2	P6_4_Fw_2	P6_4_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P6_5_2	P6_5_Fw_2	P6_5_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P6_6_2	P6_6_Fw_2	P6_6_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P6_7_2	P6_7_Fw_2	P6_7_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P6_8_2	P6_8_Fw_2	P6_8_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_1_2	P7_1_Fw_2	P7_1_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_2_2	P7_2_Fw_2	P7_2_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_3_2	P7_3_Fw_2	P7_3_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_4_2	P7_4_Fw_2	P7_4_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_5_2	P7_5_Fw_2	P7_5_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_6_2	P7_6_Fw_2	P7_6_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_7_2	P7_7_Fw_2	P7_7_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_8_2	P7_8_Fw_2	P7_8_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_9_2	P7_9_Fw_2	P7_9_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_10_2	P7_10_Fw_2	P7_10_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_11_2	P7_11_Fw_2	P7_11_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P7_12_2	P7_12_Fw_2	P7_12_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P8_34_2	P8_34_Fw_2	P8_34_Rv_2	F1CBS_16	F1CBS_16	CAST-129S
P8_24_3	P8_24_Fw_3	P8_24_Rv_3	F1CBS_16	F1CBS_16	CAST-129S
